x-coordinate,y-coordinate,z-coordinate
-1.977658284,-1.323371289,-1.047643137
11.56695142,-2.380514767,-1.045537872
9.246280304,0.9568,-1.043791885
14.65846349,0.9568,-1.041581443
0.0475742656,0.9568,-1.039536946
14.99303777,0.9568,-1.039162305
4.867338147,0.9568,-1.030978359
0.3307516734,0.9568,-1.028843452
13.93438189,0.9568,-1.028828864
0.8994217954,1.01,-1.028816332
14.50308829,1.01,-1.028805837
9.826011818,-2.389097858,-1.025773574
8.353228223,0.9568,-1.022328655
14.51362886,0.9568,-1.021314118
0.3201460062,1.01,-1.02130631
0.9099891214,0.9568,-1.021305662
13.92377791,1.01,-1.021292128
13.37832866,-2.39122473,-1.020805706
12.92315046,0.9568,-1.019840512
12.52377818,-2.65,-1.013943545
10.10038116,0.9568,-1.010600537
11.71552275,-2.395824804,-1.009962133
1.556132106,0.9568,-1.00568115
15.47866426,-2.365138975,-1.003585791
11.71098805,-2.65,-1.003567306
13.13899057,-2.398653262,-1.003226061
12.53225071,-2.399134693,-1.002074212
13.42601514,0.9568,-0.9997793138
10.9274309,-2.402459445,-0.9940767659
12.69117546,-2.405145827,-0.9875593911
13.21316548,0.9568,-0.9863757369
12.89785148,-2.410686631,-0.9739558333
11.69135316,-2.533083539,-0.9731189911
2.380504262,0.9568,-0.9649608247
15.97685197,-2.242519544,-0.9626851149
15.47711889,0.9568,-0.961596174
12.55752232,-2.526063738,-0.961547478
1.201958069,0.9568,-0.9612120956
11.50281057,-2.415931836,-0.9608711489
-0.1829869797,0.9568,-0.9570281947
7.97359122,-2.418048762,-0.9555313629
-1.089788393,-2.159906334,-0.9524525641
10.77708037,0.9568,-0.9521003441
-0.437810258,-2.38547978,-0.936914295
13.70087218,0.9568,-0.9323918462
1.778969432,0.9568,-0.9257395541
11.3456786,-2.430501822,-0.9233963913
13.82082816,0.9568,-0.9203396038
0.2171539225,0.9568,-0.9203094809
1.013045238,1.01,-0.9202241394
14.61670733,1.01,-0.920209977
10.61913001,-2.432507934,-0.9180986607
0.2094512117,1.01,-0.9099093888
13.81308206,1.01,-0.9098809851
14.62436493,0.9568,-0.9098669451
1.020787417,0.9568,-0.9097645091
14.75375193,0.9568,-0.9017792889
15.07353668,0.9568,-0.8996139491
1.398092223,0.9568,-0.8947177594
14.43492473,-2.441220057,-0.8946757151
-0.4897733857,0.9568,-0.8925093176
0.02723684363,0.9568,-0.8908920868
14.89668395,0.9568,-0.8902611931
13.56594125,0.9568,-0.888028554
4.027688138,0.9568,-0.8835127954
15.26498411,0.9568,-0.8802858129
11.6466329,-2.448240514,-0.8752818891
12.59600087,-2.65,-0.8739755376
13.61075165,-2.450933397,-0.8677127884
12.59855224,-2.45153697,-0.8660060547
-2.329652875,-0.7657906854,-0.8638762116
-0.9849620645,0.9568,-0.8623132564
0.51570015,-2.452853472,-0.8622701684
11.6423667,-2.65,-0.8618166612
11.13998517,-2.454369893,-0.8579443038
5.167367777,-2.457018683,-0.8503288715
13.07450537,-2.457497552,-0.8489439216
-2.422964627,0.4299974752,-0.8392523978
17.5169763,-0.3454685699,-0.8377338321
-1.275257983,0.9568,-0.8312945641
12.74665579,-2.464103225,-0.8295753717
13.27839332,-2.464266508,-0.8290902119
11.49392461,-2.466670368,-0.8219107596
1.564414594,0.9568,-0.7957288883
13.37416254,0.9568,-0.7922011137
1.198735017,-2.477812988,-0.7876819126
2.031780268,0.9568,-0.786016938
10.23420236,-2.478553971,-0.7853471932
11.70823584,0.9568,-0.7842664378
13.74653299,0.9568,-0.7819882323
0.1428449021,0.9568,-0.781882615
14.6909629,1.01,-0.7818186798
1.087341259,1.01,-0.7817333454
12.92374938,-2.481523171,-0.7759141387
0.1387706679,1.01,-0.769670982
13.74240782,1.01,-0.7696266202
14.69504748,0.9568,-0.7695689146
1.091455985,0.9568,-0.769381338
1.26653107,0.9568,-0.7643977205
-0.0511356526,0.9568,-0.7579046077
