Node,X[m],Y[m],Z[m],predicted_CR
314,-17.389719,12.2520218,-5.40717506,0.009033078
315,-17.354372,12.2416391,-5.40717506,0.009033078
316,-17.354372,12.2416391,-5.34326315,0.009033078
317,-19.9456196,12.6049995,-4.70430994,0.009033078
318,-19.9456196,12.6049995,-4.6403985,0.009033078
319,-19.881712,12.6049995,-4.6403985,0.009033078
320,-19.881712,12.6049995,-4.70430994,0.009033078
321,-18.7954197,12.6049995,-4.95990229,0.009033078
322,-18.7954197,12.6049995,-4.89599085,0.009033078
323,-18.7315235,12.6049995,-4.89599085,0.009033078
324,-18.7315235,12.6049995,-4.95990229,0.009033078
325,-20.0095158,12.6049995,-10.2635365,0.009033872
326,-20.0095158,12.6049995,-10.1996241,0.009033872
327,-19.9456196,12.6049995,-10.1996241,0.009033872
328,-19.9456196,12.6049995,-10.2635365,0.009033872
329,-18.5442352,12.271101,-8.41042423,0.009033872
330,-18.5442352,12.271101,-8.3465395,0.009033872
331,-18.6035748,12.2643738,-8.3465395,0.009033872
332,-18.6035748,12.2643738,-8.41042423,0.009033872
333,-17.8369198,12.2416391,-10.346241,0.009033872
334,-17.7730122,12.2416391,-10.346241,0.009033872
335,-17.7730122,12.2416391,-10.2635365,0.009033872
336,-17.8369198,12.2416391,-10.2635365,0.009033872
337,-18.9232349,12.2416391,-10.0718555,0.009033872
338,-18.9232349,12.2416391,-10.0079441,0.009033872
339,-18.9871311,12.2416391,-10.0079441,0.009033872
340,-18.9871311,12.2416391,-10.0718555,0.009033872
341,-20.1725159,12.2416391,-7.26028681,0.009033872
342,-20.1725159,12.3274698,-7.26028681,0.009033872
343,-20.1725159,12.3274698,-7.32417107,0.009033872
344,-20.1725159,12.2416391,-7.32417107,0.009033872
345,-18.6037312,12.6049995,-4.95990229,0.009033078
346,-18.6037312,12.6049995,-4.89599085,0.009033078
347,-18.539835,12.6049995,-4.89599085,0.009033078
348,-18.539835,12.6049995,-4.95990229,0.009033078
349,-17.5813236,12.2416391,-4.70430994,0.009033078
350,-17.5813236,12.2416391,-4.76819468,0.009033078
351,-17.5174274,12.2416391,-4.76819468,0.009033078
352,-17.5174274,12.2416391,-4.70430994,0.009033078
353,-17.9647236,12.2416391,-9.68843937,0.009033872
354,-17.9647236,12.2416391,-9.62455559,0.009033872
355,-18.0286198,12.2416391,-9.62455559,0.009033872
356,-18.0286198,12.2416391,-9.68843937,0.009033872
357,-18.156435,12.2416391,-9.04948616,0.009033872
358,-18.156435,12.2416391,-8.98557568,0.009033872
359,-18.2203312,12.2416391,-8.98557568,0.009033872
360,-18.2203312,12.2416391,-9.04948616,0.009033872
361,-17.5813236,12.2416391,-10.346241,0.009033872
362,-17.5813236,12.2416391,-10.2635365,0.009033872
363,-17.6452198,12.2416391,-10.2635365,0.009033872
364,-17.6452198,12.2416391,-10.346241,0.009033872
365,-19.1788197,12.2416391,-9.36896324,0.009033872
366,-19.1788197,12.2416391,-9.43284798,0.009033872
367,-19.112957,12.2583036,-9.43284798,0.009033872
368,-19.112957,12.2583036,-9.36896324,0.009033872
369,-18.2162361,12.5761013,-9.8162632,0.009033872
370,-18.2162361,12.5761013,-9.75235176,0.009033872
371,-18.1492348,12.5761013,-9.75235176,0.009033872
372,-18.1492348,12.5761013,-9.8162632,0.009033872
373,-18.7315483,12.2647648,-7.77147102,0.009033872
374,-18.7315483,12.2647648,-7.70755959,0.009033872
375,-18.7857361,12.271101,-7.70755959,0.009033872
376,-18.7857361,12.271101,-7.77147102,0.009033872
377,-18.3469486,12.258604,-8.41042423,0.009033872
378,-18.3469486,12.258604,-8.3465395,0.009033872
379,-18.411478,12.2614508,-8.3465395,0.009033872
380,-18.411478,12.2614508,-8.41042423,0.009033872
381,-17.8369198,12.2416391,-9.62455559,0.009033872
382,-17.8369198,12.2416391,-9.68843937,0.009033872
383,-17.7422104,12.2502956,-9.68843937,0.009033872
384,-17.7422104,12.2502956,-9.62455559,0.009033872
385,-19.3705196,12.2416391,-8.72998333,0.009033872
386,-19.3705196,12.2416391,-8.79389477,0.009033872
387,-19.306612,12.2416391,-8.79389477,0.009033872
388,-19.306612,12.2416391,-8.72998333,0.009033872
389,-18.0286198,12.2416391,-8.98557568,0.009033872
390,-18.0286198,12.2416391,-9.04948616,0.009033872
391,-17.9647236,12.2416391,-9.04948616,0.009033872
392,-17.9647236,12.2416391,-8.98557568,0.009033872
393,-18.919735,12.271101,-7.13246346,0.009033872
394,-18.919735,12.271101,-7.0685792,0.009033872
395,-18.9876461,12.2619915,-7.0685792,0.009033872
396,-18.9876461,12.2619915,-7.13246346,0.009033872
397,-18.5442352,12.271101,-7.77147102,0.009033872
398,-18.5442352,12.271101,-7.70755959,0.009033872
399,-18.6035748,12.2643738,-7.70755959,0.009033872
400,-18.6035748,12.2643738,-7.77147102,0.009033872
401,-18.4102535,12.5883722,-9.17725563,0.009033872
402,-18.4102535,12.5883722,-9.1133709,0.009033872
403,-18.350235,12.5761013,-9.1133709,0.009033872
404,-18.350235,12.5761013,-9.17725563,0.009033872
405,-18.2203312,12.2416391,-8.3465395,0.009033872
406,-18.2203312,12.2416391,-8.41042423,0.009033872
407,-18.156435,12.2416391,-8.41042423,0.009033872
408,-18.156435,12.2416391,-8.3465395,0.009033872
409,-18.028635,12.5822058,-9.8162632,0.009033872
410,-18.028635,12.5822058,-9.75235176,0.009033872
411,-17.9747353,12.5761013,-9.75235176,0.009033872
412,-17.9747353,12.5761013,-9.8162632,0.009033872
413,-19.5622196,12.2416391,-8.09094715,0.009033872
414,-19.5622196,12.2416391,-8.15483189,0.009033872
415,-19.4983234,12.2416391,-8.15483189,0.009033872
416,-19.4983234,12.2416391,-8.09094715,0.009033872
417,-18.411478,12.2614498,-7.70755959,0.009033872
418,-18.411478,12.2614508,-7.77147102,0.009033872
