X,Y,Z
0.0969878286,-1.53750265,0.59743911
0.112378776,-1.56309557,0.58641237
0.113222949,-1.51634729,0.614606142
0.0662187636,-1.48853028,0.688720286
0.0653472245,-1.50041831,0.636437058
0.096317783,-1.5895164,0.582716227
0.128850251,-1.53800249,0.597230136
0.097094208,-1.50065351,0.636283994
-1.57232964,-1.61001408,0.782012343
-1.58805406,-1.58271706,0.785911918
0.0814174414,-1.49108958,0.661556244
0.144109666,-1.56255853,0.586606443
-1.52449262,-1.58302379,0.785911918
-1.5404923,-1.60935366,0.782241046
-1.55627334,-1.58287036,0.785911918
0.128100321,-1.5896697,0.582716227
0.159882933,-1.58982313,0.582716227
-0.774015248,-1.61784804,0.78078723
-0.761755586,-1.58670473,0.785911918
-0.744746029,-1.6074065,0.783659637
-1.97255492,-1.63459063,0.770127416
-1.9568572,-1.60898769,0.781771839
-2.00120258,-1.6121254,0.780721009
-1.93842328,-1.63270259,0.77139461
-1.92190838,-1.60831451,0.78201592
-1.90562177,-1.63141572,0.772247076
-0.618878722,-1.61565137,0.781710684
-1.95447659,-1.65363431,0.754616261
-2.0013392,-1.64039242,0.766059875
-1.92319071,-1.65120125,0.757216811
-1.98243725,-1.65361631,0.754494131
-1.9725287,-1.63328004,0.597683847
-2.00119376,-1.6102829,0.587313712
-1.95684242,-1.60757339,0.586450696
-1.93841398,-1.63152802,0.596538186
-1.92187524,-1.60704947,0.58626008
-0.443948448,-1.58823848,0.785911918
-0.428191245,-1.61590314,0.781906724
-0.412167728,-1.5883919,0.785911918
-1.97504079,-1.66968346,0.732404768
-2.00144696,-1.66275835,0.743333101
-0.396407813,-1.61549544,0.782067418
-0.380387038,-1.5885452,0.785911918
-0.36447832,-1.61594701,0.78198266
-2.00151563,-1.67696798,0.714827001
-1.90666389,-1.63271368,0.59714818
-2.00133157,-1.63883078,0.601438344
-1.95443213,-1.65267038,0.613019526
-1.92269492,-1.65327644,0.613482177
-1.98238921,-1.65254653,0.613030732
-1.97537053,-1.66746867,0.632314384
-1.87482202,-1.63288069,0.597156167
-2.00144148,-1.66159987,0.623704553
-1.8910861,-1.65421987,0.614304662
-2.00151277,-1.67636681,0.651953876
-1.94293785,-1.66933942,0.63530612
-1.90796673,-1.66968262,0.635624111
-0.332595587,-1.61599481,0.782012999
-1.96753335,-1.67973781,0.663839817
-1.87621701,-1.67062104,0.637090564
-1.85921538,-1.65505707,0.615030527
-2.03343725,-1.55857682,-2.81562686
-2.00080013,-1.5274713,-2.82000136
-2.02829981,-1.51248622,-2.82582641
-2.00153828,-1.68165338,0.683339953
0.226491854,-1.64177549,0.772206485
0.242482528,-1.61897612,0.78195399
0.255524904,-1.64326048,0.77141273
0.194791511,-1.64129508,0.772395492
0.223726749,-1.64196897,0.596542001
-0.491756082,-1.61630476,0.781698883
-0.475729167,-1.58808517,0.785911918
0.257850021,-1.64390194,0.597597003
0.19198744,-1.64283288,0.597142875
-0.301063836,-1.61557651,0.782173991
-0.269320458,-1.61630237,0.782012343
0.239519387,-1.66330564,0.613067508
-2.02802181,-1.45684397,-2.89948201
-2.00046659,-1.45542943,-2.91535282
-2.02801919,-1.45626199,-2.93126869
0.207765773,-1.66355968,0.613483906
0.267555326,-1.66330707,0.612931669
-0.507537961,-1.58660221,0.582716227
-0.475756675,-1.58675551,0.582716227
-0.49172762,-1.6130923,0.58603102
